ISO,internet,year,elec,capital,hc,water,contract,rail,ed,land,truck
CHE,-0.001354779,1994,0.024792376,2.7184637307365802e-08,0.001045682,-0.089065936,0.047659796,0.01823204,0.013323111,-0.002197796,0.038765698
YEM,-0.001363272,1994,0.001159416,3.855846235012239e-10,6.521993863361608e-05,-0.006694091,2.839550919971068e-05,0.001254897,-0.008956363,-0.000348713,0.005473561
DZA,-0.001643605,1994,0.00426851,7.364342212472077e-09,0.000425096,-0.007936239,-0.004900374,0.004002043,-0.00662009,-0.000841798,0.007038984
EST,-0.001901157,1994,0.030101307,6.2137600183703875e-09,0.000705725,-0.088085687,0.042904713,0.020872988,-0.025013258,-0.000362998,0.046927273
ARE,-0.001908898,1994,0.006523815,3.7275146272499634e-09,0.00021195,-0.017224905,0.009095204,0.004372215,-0.029952777,-0.000349142,0.0099627
QAT,-0.002004103,1994,0.006527427,2.97026828565747e-09,0.000163446,-0.010976971,0.001894254,0.005525085,-0.009569181,-0.000196849,0.006598173
VEN,-0.002152557,1994,0.017998353,3.5627365410158886e-09,0.000352695,-0.02412766,-0.000344042,0.013968515,-0.012778988,-0.001022436,0.019383716
IRN,-0.002363054,1994,0.006734206,-7.45E-10,-2.49E-06,-0.005506388,0.002807451,0.003560299,-0.005459411,-0.00021018,0.007889061
FRA,-0.002591637,1994,0.029459879,2.3162527266889687e-08,0.001103767,-0.081828553,0.051667783,0.024701759,-0.013578491,-0.000147912,0.047172562
BGR,-0.003100025,1994,0.041485575,7.929093387418081e-09,0.00075214,-0.071470956,0.027355819,0.032982743,-0.02916849,4.909222778709375e-05,0.052621683
ZAF,-0.003220286,1994,0.053994603,7.311415168214929e-09,0.00065565,-0.074641089,0.027247017,0.040234764,-0.019128042,0.00155498,0.053563928
MKD,-0.00324302,1994,0.036566774,5.826491734902221e-09,0.000670472,-0.07570343,0.036745579,0.024204819,-0.042762771,-0.000379566,0.056721455
RUS,-0.003339343,1994,0.029791927,8.391363377954706e-09,0.000612717,-0.042331023,0.008806271,0.026074703,-0.015223214,0.000951184,0.031369936
PRT,-0.003631027,1994,0.027576305,9.910125772559552e-09,0.000671267,-0.089189896,0.051810459,0.018867949,-0.040634018,-0.001810476,0.045306736
GBR,-0.003806343,1994,0.024010954,2.316261211979425e-08,0.001047454,-0.083129494,0.050841163,0.019106256,-0.005967529,-0.001127209,0.037571404
OMN,-0.003862863,1994,0.002953819,4.407743148657966e-09,0.000240204,-0.022376783,0.015520202,0.003410725,-0.042866574,-9.76E-05,0.009078517
NZL,-0.004033433,1994,0.026597799,1.3814618341357877e-08,0.001074633,-0.072848363,0.034947656,0.023185049,-0.034838563,0.002036302,0.081228531
ESP,-0.004255131,1994,0.028796309,2.257990737396948e-08,0.001069154,-0.079739718,0.054810879,0.024832119,-0.02259153,-0.00054911,0.045787844
AUS,-0.004259515,1994,0.041946376,7.921195234556358e-09,0.000723179,-0.067172965,0.028131088,0.032790973,-0.022614919,0.004053545,0.054272022
CHN,-0.004275967,1994,0.019095521,5.812564489260165e-09,0.00062377,-0.092144518,0.055337206,0.013143606,-0.02011706,-0.002077927,0.039911628
ALB,-0.004390923,1994,0.01914306,-4.87E-10,0.000598752,-0.086257697,0.04815908,0.017584537,-0.10165983,-0.000952229,0.046961797
KOR,-0.00440603,1994,0.028354486,1.8527913852177886e-08,0.000900389,-0.091278076,0.052225246,0.017788217,0.002079451,-0.002588959,0.03694722
GAB,-0.00464804,1994,0.004324774,-2.02E-09,8.846010927411641e-05,-0.024538958,0.00857087,0.001166007,-0.009480606,0.000485899,0.005177728
BHR,-0.005057239,1994,0.055091271,9.888729069029158e-09,0.000656913,-0.052431008,0.001684273,0.01874767,-0.017529126,-0.001932281,0.040685576
COG,-0.005066565,1994,0.000225091,2.3494033152087086e-10,0.000161846,-0.026336036,0.008806919,0.00254981,0.000687624,5.792643430218902e-05,0.008677801
LTU,-0.00528673,1994,0.025580908,9.5675174703149e-09,0.00079926,-0.06895572,0.029275128,0.020950517,-0.023080528,-0.000857573,0.045552696
MEX,-0.005383975,1994,0.018277861,1.7964644001922856e-08,0.000954339,-0.082073771,0.055898468,0.015098047,0.009831253,-0.000911002,0.0370985
NLD,-0.005690111,1994,0.027966707,2.002978711217026e-08,0.000990995,-0.065404361,0.035972286,0.024332124,-0.018081436,-0.001127758,0.04788205
JOR,-0.006451932,1994,0.041050565,9.458657984620596e-09,0.000710503,-0.077488228,0.028844061,0.029068722,-0.039904006,-0.001308015,0.040052073
EGY,-0.006818291,1994,0.026809728,1.0099480237125982e-09,0.000230221,-0.029725821,0.012645063,0.014497797,-0.017923874,-0.000596822,0.026245883
GIN,-0.006844051,1994,0.096108295,-8.26E-09,6.817168478177806e-05,-0.082737452,0.026538329,0.014293949,0.007692677,0.003243021,0.030577115
URY,-0.007074866,1994,0.027552635,1.183304151188014e-08,0.000891261,-0.075177959,0.045930447,0.029985793,-0.048883017,0.00210542,0.074694544
IDN,-0.007097997,1994,0.026955163,3.0161207701502582e-09,0.000441357,-0.065522694,0.029566797,0.016116189,-0.019483285,-0.001248701,0.033235587
USA,-0.007582885,1994,0.022550584,2.3348272891796745e-08,0.001092423,-0.085945522,0.05519322,0.018621817,-0.000767475,-0.000614487,0.036851708
TTO,-0.007618969,1994,0.027980495,9.505882533331817e-09,0.000683162,-0.041159022,0.004997985,0.026744329,-0.008537238,-0.001865409,0.033190596
BOL,-0.008053579,1994,0.045969018,-4.31E-09,0.00042361,-0.06471838,0.023911618,0.018337224,-0.006686604,0.001138508,0.04423573
TUR,-0.008516465,1994,0.037738195,2.835763038113369e-09,0.000502902,-0.070093338,0.040853403,0.028784294,-0.026055486,-0.00096491,0.048971303
ARG,-0.008541234,1994,0.019979176,5.184222382379046e-09,0.000657144,-0.043320651,0.025029036,0.022292314,-0.042744261,0.004022396,0.048556024
ZWE,-0.009194175,1994,0.031299991,-7.54E-09,0.000124439,-0.01881383,0.024229599,0.026116453,-0.031038473,0.002064568,0.048093732
LBN,-0.009397191,1994,0.024767014,5.457813221590845e-09,0.00053507,-0.077310403,0.043010665,0.01514335,-0.01021728,-0.001596551,0.046583191
BLR,-0.009516897,1994,0.038476881,1.2609443686887672e-08,0.00083644,-0.064164775,0.018383942,0.028672369,-0.023402598,-0.001218708,0.044166783
PAK,-0.009668825,1994,0.058539349,-8.89E-09,-4.01E-05,-0.068619789,0.038453233,0.015376443,-0.026055748,-0.002261374,0.049808199
IRL,-0.009909883,1994,0.02108919,2.544163059231988e-08,0.001156253,-0.074071882,0.046789922,0.020871789,-0.005177922,-0.001822389,0.050998558
PAN,-0.010190375,1994,0.005164382,8.265347018374517e-09,0.000606133,-0.085588403,0.053628035,0.005914919,-0.015442376,-0.002948102,0.024499352
ISR,-0.010366528,1994,0.023318854,1.3251881715680691e-08,0.000767623,-0.090741459,0.047508835,0.011658626,0.024267039,-0.001748449,0.039222068
IND,-0.011039951,1994,0.034848732,2.19649258181182e-09,0.000404171,-0.08065736,0.038973067,0.018407805,-0.024293734,-0.001219196,0.047303898
THA,-0.011103077,1994,0.017827024,9.89057813314474e-09,0.000696926,-0.090355433,0.053469949,0.017916813,-0.005376997,-0.002122916,0.043158858
GRC,-0.01134599,1994,0.034646057,5.392625579345735e-09,0.000531307,-0.057027827,0.031534337,0.021209479,-0.031405541,-0.00077494,0.041627332
ZMB,-0.011641025,1994,0.063570654,-2.26E-10,0.000657683,-0.071828331,0.010921649,0.021361533,-0.033314733,0.001058629,0.080746269
MDA,-0.011691359,1994,0.018734457,7.0929475743141395e-09,0.000802464,-0.061274639,0.039304618,0.022015351,-0.033860747,0.001262221,0.055651043
