"","1","2","3","4","5","6","7","8","9","10","11","12","13"
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","327212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","339913","331491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","331491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","331419","910000","331491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","333314","334516",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","339999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","334518",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","111140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","111199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","111199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","111199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","111150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","111160","311212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","111199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","111199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","311211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","311211","311212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","311211","311212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","311230","311211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","311211","311423",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","311211","311423",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","311213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","311221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","311221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","111110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","111992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","111335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","111120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","111120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","111120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","111120","111920","111199","111335",NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","311222","311223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","111991","111219","111998","111422","111421","111910",NA,NA,NA,NA,NA,NA,NA
"113","111998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","113210","111998","311920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","113210","114119","111339","111998","111991","111930",NA,NA,NA,NA,NA,NA,NA
"116","111998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","311119","111940","111998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","113210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","113210","311930","311999","325411",NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","113210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","113210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","111998","113210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","111998","311223","113210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","311611","311613",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","311611","311613",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","311613",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","114111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","313312","325199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","311613",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","311222","311225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","311223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","311223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","311223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","311223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","311223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","311223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","311223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","311223","311221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","311225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","311225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","311223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","325199","325191","324110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","325611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","325998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","325613",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","311615","311611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","311422","311999","311615","311611",NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","311611","311711",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","311711","114111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","311711","114112","114111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","31131X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","311514","111998","311221","31131X",NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","31131X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","311340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","111335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","111335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","311320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","311320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","311320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","311320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","311514","311822","312120","311942","311930","311999","311513",NA,NA,NA,NA,NA,NA
"162","311823","311999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","311221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","311230","311999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","31181X","311919","311999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","311421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","311421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","311421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","311411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","311422","311999","311919","311423","311421",NA,NA,NA,NA,NA,NA,NA,NA
"171","311340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","311422","311999","311421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","311911","111150","311421","311230","311999",NA,NA,NA,NA,NA,NA,NA,NA
"174","311411","311421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","311920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","311999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","311941","311421","311942",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","311999","311711","311422",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","311520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","311222","311930","325412","311411","311999","311514","311340","311920",".",NA,NA,NA,NA
"181","312112","312113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","312111","311511","311421","312120",NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","312120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","312130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","312130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","312130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","312140","325193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","312140","312130","311930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","311999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","311613","114111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","311211","311212","311423",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","311221","31131X","312120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","311222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","311223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","311223","311221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","312130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","113210","311411","311119","311223",NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","311111","311119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","111910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","312229","312221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","312229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","212393",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","212393",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","212393","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","327992","212399",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","212322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","212311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","212324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","212325",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","212319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","212392",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","212393","327992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","212399",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","212399","327910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","212311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","212311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","212311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","212319","212322","324121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","212319","327410","327992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","212325","327992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","212399","327420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","212319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","327410","327310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","327310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","212399",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","212399","327992","910000","327999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","212399","327992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","212399",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","212391",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","212325","212393",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","212399","212393",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","212210","327992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","212299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","212234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","212234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","212299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","212299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","212231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","212231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","212299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","212299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","212299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","212291","212299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","212299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","212299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","212299","212291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","212222","212221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","212299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","331111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","331111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","331419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","910000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","212113","212112","324110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","212112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","212399",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","331111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","331111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","331111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","325192","324110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","325192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","211111","211112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","324110","211112","325182",".",NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","211111","211112","325110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","324110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","324110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","212399",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","324121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","990000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","325181","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","325182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","325120","331419","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","325311","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","325188","325312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","325188","325120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","325311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","325181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","327910","331311","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","325131","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","325131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","325131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","325188","325131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","325188","325312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","325311","325181","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","325188","325131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","325188","327910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319","325188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320","325110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321","325192","324110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322","325199","325120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323","325199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324","325199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325","325199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326","325199","325192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327","325199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328","325199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329","325199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330","325199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331","325199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
