,ID,error,mean,year
2,truck_TUV,3.194480278144132,6.651286499516958,1995.0
3,truck_SDN,3.1944071641395,6.519306323152536,1995.0
4,truck_AFG,3.194408273948726,6.068436068564109,1995.0
5,truck_SCG,3.194471527601687,5.917440371530871,1995.0
6,truck_MWI,3.194458764320646,4.835282483668082,1995.0
7,truck_BEN,3.1944051792371075,4.798091984036554,1995.0
8,truck_LKA,3.1944032408290095,4.560714338907511,1995.0
9,truck_MOZ,3.1944028470496706,4.456360016970265,1995.0
10,truck_MMR,3.194423139780481,3.998092151938078,1995.0
11,truck_BGD,3.194416042717585,3.952339172180229,1995.0
12,truck_KEN,3.1944402746569174,3.815572267662082,1995.0
13,truck_NFK,3.1944416817090087,3.529426267792269,1995.0
14,truck_VUT,3.194440981418204,3.517489299871682,1995.0
15,truck_URY,3.194434123861106,3.4470469441169125,1995.0
16,truck_COM,3.1944791794418146,3.2024430566857243,1995.0
17,truck_KAZ,3.1945051601476893,3.123564001940708,1995.0
18,truck_LBR,3.1947201878200504,3.0607042766275567,1995.0
19,truck_NRU,3.1944113525801257,3.056777068677512,1995.0
20,truck_ARG,3.1944796976039895,3.0562411539608587,1995.0
21,truck_IND,3.1945044085985694,3.046600015147173,1995.0
22,truck_DNK,3.1945524657864226,2.957642970204634,1995.0
23,truck_VCT,3.1944206509549726,2.9437974407617657,1995.0
24,truck_HUN,3.1945068817433095,2.9009898013092497,1995.0
25,truck_LBN,3.1945136386726958,2.8493430738452066,1995.0
26,truck_FRA,3.1945478893144146,2.8360621613880617,1995.0
27,truck_HRV,3.194624189187919,2.7638259982592084,1995.0
28,truck_GUF,3.1944060788087216,2.7569356984171454,1995.0
29,truck_JOR,3.1945481385762378,2.752045702418794,1995.0
30,truck_CXR,3.194409868724362,2.7191855390498896,1995.0
31,truck_USA,3.194560183319866,2.7102649499378213,1995.0
32,truck_CHE,3.1945555430803427,2.680193845643222,1995.0
33,truck_PAK,3.1944027703815374,2.672334833214422,1995.0
34,truck_DMA,3.1944789914181566,2.669251430977038,1995.0
35,truck_AND,3.1944027640175054,2.648111899230365,1995.0
36,truck_SWE,3.1946200148834523,2.636757257943912,1995.0
37,truck_MLT,3.1945206094660357,2.625136029323998,1995.0
38,truck_AUS,3.1945446531034074,2.6171297211060667,1995.0
39,truck_GMB,3.1944606606519272,2.613344223336159,1995.0
40,truck_ANT,3.194524056803975,2.605729177881164,1995.0
41,truck_SOM,3.194470979042103,2.589778974037911,1995.0
42,truck_PAN,3.1944932290717727,2.5703929009394857,1995.0
43,truck_ZWE,3.194479171016697,2.5501003124522743,1995.0
44,truck_BFA,3.19445659630148,2.541315026338543,1995.0
45,truck_PLW,3.1945747901754213,2.536947872320872,1995.0
46,truck_ERI,3.194410193916966,2.517497652242905,1995.0
47,truck_BGR,3.1945757313857404,2.507886558852791,1995.0
48,truck_GBR,3.194560306100427,2.4718253813883377,1995.0
49,truck_FSM,3.1944629078293696,2.4478662785588554,1995.0
50,truck_MDA,3.1944388168071787,2.4094585919682436,1995.0
51,truck_FIN,3.1946109164677887,2.404514200052156,1995.0
52,truck_CAN,3.194607049131083,2.3989109822853822,1995.0
53,truck_CYP,3.194554754648639,2.381191285379545,1995.0
54,truck_SVN,3.194497007288483,2.36664591039656,1995.0
55,truck_SVK,3.194534876065169,2.342441442521319,1995.0
56,truck_CZE,3.1945511440885923,2.336230757952136,1995.0
57,truck_TON,3.1944070944638248,2.334809357535795,1995.0
58,truck_PRK,3.194581200061231,2.331423334521297,1995.0
59,truck_AUT,3.1945705564988316,2.3115691195670562,1995.0
60,truck_ISR,3.194562496866733,2.2999309523853393,1995.0
61,truck_IRL,3.1945050754022732,2.286820484237581,1995.0
62,truck_DEU,3.194571817871259,2.270395096851517,1995.0
63,truck_THA,3.194504731754859,2.266367032462633,1995.0
64,truck_BEL,3.1945875669758204,2.264834135726127,1995.0
65,truck_CHN,3.1945118021331567,2.240115616784019,1995.0
66,truck_GRC,3.1945097088420455,2.210906386244334,1995.0
67,truck_MNP,3.1944206399380235,2.1953830595593242,1995.0
68,truck_MHL,3.19461536361505,2.1865774986685693,1995.0
69,truck_GEO,3.194450628832007,2.18043226262241,1995.0
70,truck_POL,3.1946035805752,2.1700133836690947,1995.0
71,truck_KIR,3.1946270030982857,2.1644124350382876,1995.0
72,truck_DOM,3.194435015488608,2.140688260836251,1995.0
73,truck_NLD,3.194570112426269,2.105767166331307,1995.0
74,truck_ROU,3.1945206795759686,2.1038647879389076,1995.0
75,truck_ITA,3.1945502435599002,2.101667536032077,1995.0
76,truck_BIH,3.1944213895987854,2.0938193836055454,1995.0
77,truck_ESP,3.194582279566301,2.0742310577157075,1995.0
78,truck_KOR,3.1946074646237266,2.0612718678235584,1995.0
79,truck_ANS,3.1945400430258686,2.0596181842068195,1995.0
80,truck_GLP,3.1944250047435307,2.0586536371359507,1995.0
81,truck_JPN,3.194655282516795,2.052668108390611,1995.0
82,truck_MKD,3.1945443127094686,2.0433105548426296,1995.0
83,truck_TKL,3.194500430162611,2.0154563978115405,1995.0
84,truck_CRI,3.19449084121744,1.9949329453302291,1995.0
85,truck_HKG,3.1945126728632673,1.9931384350016246,1995.0
86,truck_TUR,3.1945527141227927,1.9889688482112298,1995.0
87,truck_NZL,3.1945163853146656,1.9872027101822323,1995.0
88,truck_TWN,3.1945412616322972,1.9703581728436557,1995.0
89,truck_AIA,3.1944948993858437,1.9363498120196168,1995.0
90,truck_PRT,3.194522625641989,1.9219984146076208,1995.0
91,truck_LTU,3.194527916782576,1.920776212099149,1995.0
92,truck_TCD,3.194406510489026,1.919911621444598,1995.0
93,truck_GTM,3.1944725534282177,1.9120341590197705,1995.0
94,truck_FLK,3.1945380019334566,1.907640282540877,1995.0
95,truck_EST,3.194508258545201,1.8818344157546434,1995.0
96,truck_BHS,3.1945815161305124,1.8511113641897547,1995.0
97,truck_LCA,3.1944591338718906,1.8162965853164346,1995.0
98,truck_VNM,3.1944020370004536,1.8030998895611239,1995.0
99,truck_MYS,3.1945855600642856,1.7968457775028561,1995.0
100,truck_STP,3.194491978908161,1.79026431825236,1995.0
101,truck_BRB,3.1944984830987773,1.78868774160975,1995.0
102,truck_SGP,3.1946084313661673,1.7576811886258088,1995.0
103,truck_MEX,3.1946002220892176,1.749630720011094,1995.0
104,truck_UKR,3.194531871041913,1.743221626156541,1995.0
105,truck_MUS,3.1944172932294244,1.7374229391423979,1995.0
106,truck_ALB,3.1944124046789115,1.7260962332468024,1995.0
107,truck_PCN,3.1947255261308496,1.721820127763745,1995.0
108,truck_LVA,3.1945152189346735,1.7196796972137922,1995.0
109,truck_ZAF,3.194552643545059,1.719257775688317,1995.0
110,truck_DJI,3.194763225084665,1.7017073042242274,1995.0
111,truck_CYM,3.1945061080797026,1.6925279149205514,1995.0
112,truck_BLR,3.1945786886193672,1.6703135040006045,1995.0
113,truck_PHL,3.194492944255046,1.6595785477523444,1995.0
114,truck_ISL,3.1945142873477836,1.6061562620139231,1995.0
115,truck_MTQ,3.1944633575908363,1.6016233039529983,1995.0
116,truck_NOR,3.1946948156779724,1.5741927233039066,1995.0
117,truck_BMU,3.194402548121234,1.5724742960695464,1995.0
118,truck_TZA,3.1944651283589245,1.5675769287573322,1995.0
119,truck_SHN,3.1945687135762775,1.555988814645346,1995.0
120,truck_MLI,3.19440708744511,1.5533257119640433,1995.0
121,truck_SLV,3.194423245563729,1.5378762596953426,1995.0
122,truck_MAC,3.194435008442936,1.5363421746153825,1995.0
123,truck_BTN,3.1944096767141725,1.5362475037273993,1995.0
124,truck_REU,3.194473738244568,1.425428639581843,1995.0
125,truck_NER,3.1945015396088223,1.4059926516127712,1995.0
126,truck_PRY,3.1944022875914966,1.4026359101820536,1995.0
127,truck_SPM,3.1944033718628684,1.3915756934401888,1995.0
128,truck_BRA,3.194607873946483,1.3903990072107546,1995.0
129,truck_COL,3.194523073516036,1.3758339491059761,1995.0
130,truck_IRQ,3.194457377231084,1.3618474534692342,1995.0
131,truck_HND,3.1944739442061567,1.3269726992098172,1995.0
132,truck_CPV,3.1944878222897417,1.3137225344688164,1995.0
133,truck_TUN,3.194537677364543,1.2856181670948188,1995.0
134,truck_HTI,3.19440249431183,1.280043540850168,1995.0
135,truck_CIV,3.1945081848284334,1.2491463941308367,1995.0
136,truck_GHA,3.1945682081053643,1.2306682780138025,1995.0
137,truck_ATG,3.194447053502757,1.2248660510256402,1995.0
138,truck_UGA,3.1944118079625894,1.2057172573260826,1995.0
139,truck_NIC,3.1945092861206534,1.18786331804405,1995.0
140,truck_MAR,3.194440328778904,1.1857853703661323,1995.0
141,truck_CAF,3.194482986273286,1.1802713462950116,1995.0
142,truck_KGZ,3.1944799367188166,1.1754804261888578,1995.0
143,truck_KHM,3.194414474471044,1.1511161380823556,1995.0
144,truck_LAO,3.194402005298099,1.1251146570856416,1995.0
145,truck_GRD,3.194458451590496,1.1172185759074087,1995.0
146,truck_RUS,3.194575828622834,1.1043681912036654,1995.0
147,truck_IDN,3.194543638600239,1.0951861678481736,1995.0
148,truck_TTO,3.1944639843380465,1.0868869143589528,1995.0
149,truck_SYC,3.1944465326745686,1.072932251280523,1995.0
150,truck_VGB,3.1944018851234564,1.0700790295878164,1995.0
151,truck_BLZ,3.1944382441014327,1.0679960649848987,1995.0
152,truck_MDG,3.194402762494893,1.0564561340183003,1995.0
153,truck_VEN,3.1946578593054547,1.0417242437326522,1995.0
154,truck_NCL,3.1944065844188603,1.0182914181758336,1995.0
155,truck_GRL,3.1944543265769147,1.0011572247347176,1995.0
156,truck_FRO,3.194415897808227,0.9933929761447171,1995.0
157,truck_KNA,3.194520989770877,0.9877582425503095,1995.0
158,truck_CMR,3.194520290583873,0.9828094321811174,1995.0
159,truck_BHR,3.1945490357177224,0.9813930654326039,1995.0
160,truck_TGO,3.1944828941174768,0.9492960955664965,1995.0
161,truck_EGY,3.194477823001138,0.9488011960831888,1995.0
162,truck_GIB,3.1944253314783904,0.8692669308700876,1995.0
163,truck_JAM,3.1944469211954676,0.7974664611744309,1995.0
164,truck_UZB,3.194464306520528,0.7797755149405305,1995.0
165,truck_COK,3.1944018533541643,0.7719044981222432,1995.0
166,truck_GNQ,3.1944183516442495,0.770441743466954,1995.0
167,truck_SYR,3.1944019154084287,0.7335739577710152,1995.0
168,truck_GAB,3.1946214742243084,0.7233494628281225,1995.0
169,truck_FJI,3.194403760385812,0.7033626361712074,1995.0
170,truck_ETH,3.194406053165126,0.6678766156066183,1995.0
171,truck_ARM,3.194564482118885,0.6656561249190469,1995.0
172,truck_CHL,3.1944811880411965,0.6251260255210227,1995.0
173,truck_OMN,3.1946204078597593,0.6151928315912262,1995.0
174,truck_SLB,3.194402118441622,0.5862017895749574,1995.0
175,truck_QAT,3.1947011041873865,0.558798893907316,1995.0
176,truck_PER,3.1944940315777473,0.5454024828079423,1995.0
177,truck_WSM,3.194410114324029,0.534775394854783,1995.0
178,truck_COD,3.1945538983757387,0.5334480770261316,1995.0
179,truck_GIN,3.1946094409081347,0.5200313979594144,1995.0
180,truck_CUB,3.1945059910164817,0.5101589438072294,1995.0
181,truck_MDV,3.194467073322907,0.506339427138911,1995.0
182,truck_KWT,3.194636498291898,0.4982804148630554,1995.0
183,truck_SUR,3.194407589369864,0.495068298735726,1995.0
184,truck_SLE,3.1944056696957217,0.4736561232057831,1995.0
185,truck_COG,3.194534771887575,0.39635744972665277,1995.0
186,truck_SAU,3.1945352986648725,0.3953561469138711,1995.0
187,truck_GNB,3.1944171338636473,0.3925220469953422,1995.0
188,truck_ARE,3.1945248885574244,0.3672708671598728,1995.0
189,truck_ECU,3.1944160173516485,0.3408088421813055,1995.0
190,truck_GUY,3.194406663385153,0.3036683430988807,1995.0
191,truck_BDI,3.194403280433406,0.29133494752546146,1995.0
192,truck_PNG,3.194457041022814,0.25855811248619653,1995.0
193,truck_DZA,3.194526808269189,0.23128961499010758,1995.0
194,truck_MNG,3.1944036789431345,0.22326637760955212,1995.0
195,truck_TJK,3.194407506683443,0.20571168305710996,1995.0
196,truck_RWA,3.1944020678882037,0.18102704508747947,1995.0
197,truck_BOL,3.194410559662184,0.14792256233414489,1995.0
198,truck_SEN,3.194410398502616,0.14530409714275094,1995.0
199,truck_SMR,0.0,0.0,1995.0
200,truck_UMI,0.0,0.0,1995.0
201,truck_NIU,0.0,0.0,1995.0
202,truck_SWZ,0.0,0.0,1995.0
203,truck_NAM,0.0,0.0,1995.0
204,truck_TLS,0.0,0.0,1995.0
205,truck_PSE,0.0,0.0,1995.0
206,truck_WLF,0.0,0.0,1995.0
207,truck_BLM,0.0,0.0,1995.0
208,truck_BES,0.0,0.0,1995.0
209,truck_SRB,0.0,0.0,1995.0
210,truck_VAT,0.0,0.0,1995.0
211,truck_SGS,0.0,0.0,1995.0
212,truck_CUW,0.0,0.0,1995.0
213,truck_MNE,0.0,0.0,1995.0
214,truck_SSD,0.0,0.0,1995.0
215,truck_ATF,0.0,0.0,1995.0
216,truck_BVT,0.0,0.0,1995.0
217,truck_LUX,0.0,0.0,1995.0
218,truck_MYT,0.0,0.0,1995.0
219,truck_SXM,0.0,0.0,1995.0
220,truck_LSO,0.0,0.0,1995.0
221,truck_ESH,0.0,0.0,1995.0
222,truck_BWA,0.0,0.0,1995.0
223,truck_ATA,0.0,0.0,1995.0
224,truck_ASM,0.0,0.0,1995.0
225,truck_GUM,0.0,0.0,1995.0
226,truck_AZE,3.1944172989882826,-0.022965291685872996,1995.0
227,truck_CCK,3.1944082894854127,-0.0737597172339513,1995.0
228,truck_IOT,3.194456739708023,-0.07456026079081024,1995.0
229,truck_LBY,3.1944730267992814,-0.14049462278325375,1995.0
230,truck_BRN,3.194481901872467,-0.14850805923283628,1995.0
231,truck_ZMB,3.1944889918342847,-0.16061634601781494,1995.0
232,truck_PYF,3.194468361201052,-0.1630822389738158,1995.0
233,truck_NGA,3.194500084552756,-0.16343864962062404,1995.0
234,truck_TKM,3.1944326660566373,-0.18506515748914987,1995.0
235,truck_IRN,3.1944401135203235,-0.37022348715892905,1995.0
236,truck_AGO,3.194458164665898,-0.4400162890033631,1995.0
237,truck_NPL,3.1945151724522143,-0.6377327507431846,1995.0
238,truck_YEM,3.1944107144698677,-0.6769241135903024,1995.0
239,truck_MRT,3.1944082735470474,-1.274702705834971,1995.0
5,truck_NAM,3.2025226214850537,6.217177631707671,2000.0
6,truck_ASM,3.2024894637890764,5.605538659509756,2000.0
7,truck_KEN,3.2025219748773823,5.275646611887576,2000.0
8,truck_BTN,3.2024916917186346,5.089208164078659,2000.0
9,truck_LKA,3.202491787766581,5.019520118312409,2000.0
10,truck_FLK,3.2025229308771177,4.050629888515459,2000.0
11,truck_BGD,3.202494907851306,3.912171428268959,2000.0
12,truck_ARG,3.2025244652625653,3.7772302863821703,2000.0
13,truck_BEN,3.202491627097736,3.6522339484828,2000.0
14,truck_PAN,3.2025998523269155,3.5034950512038914,2000.0
15,truck_COM,3.2025590779384423,3.4108115305884077,2000.0
16,truck_BFA,3.202514151919235,3.391119202552868,2000.0
17,truck_AND,3.2024998104015285,3.3727189802368223,2000.0
18,truck_CXR,3.2025919464799975,3.3333108257498667,2000.0
19,truck_BRB,3.202507439332747,3.301243156813605,2000.0
20,truck_VCT,3.2025074641252393,3.228507157025872,2000.0
21,truck_URY,3.2024890013524896,3.1967087827395417,2000.0
22,truck_SCG,3.2025898447488377,2.9643608162251063,2000.0
23,truck_JOR,3.2027053207649625,2.880138925241472,2000.0
24,truck_CHE,3.20258037883964,2.854829574644527,2000.0
25,truck_DNK,3.202562601229541,2.8304065383740724,2000.0
26,truck_HRV,3.2025949247298904,2.824472598745505,2000.0
27,truck_FRA,3.202555073756252,2.7697244810418136,2000.0
28,truck_TUV,3.202493126189967,2.7403666131865507,2000.0
29,truck_MYT,3.202650072849185,2.7181709760623183,2000.0
30,truck_SWE,3.2026115986267856,2.6935000676091514,2000.0
31,truck_TCA,3.2024919297002894,2.677014118711017,2000.0
32,truck_LUX,3.2025808537531617,2.6517458411935078,2000.0
33,truck_PAK,3.2025158834356895,2.6328979173404945,2000.0
34,truck_FIN,3.2026889881029073,2.5723860519944504,2000.0
35,truck_MHL,3.2026466568396477,2.5604557886541843,2000.0
36,truck_USA,3.202567538841048,2.540178661014999,2000.0
37,truck_MDA,3.2025007845678113,2.510336012529959,2000.0
38,truck_MLT,3.202525331222275,2.5046921983361843,2000.0
39,truck_NIU,3.2025091189375625,2.496203537716618,2000.0
40,truck_SVN,3.2025664103559444,2.484395435511226,2000.0
41,truck_GBR,3.202566532547082,2.4581486150754452,2000.0
42,truck_BGR,3.202630317628291,2.4533124343565085,2000.0
43,truck_IND,3.2025413139427936,2.4526382985095116,2000.0
44,truck_DOM,3.2025230193226566,2.4009537516948827,2000.0
45,truck_GRC,3.202551340897517,2.4003449601243654,2000.0
46,truck_BLZ,3.2025391432666455,2.3938437163960993,2000.0
47,truck_BEL,3.202596746986667,2.392200746216175,2000.0
48,truck_DMA,3.202523703286179,2.3844442652933378,2000.0
49,truck_LVA,3.2025908284006115,2.3771076384734964,2000.0
50,truck_LBR,3.202519874656332,2.3250236505366058,2000.0
51,truck_ALB,3.202588673912734,2.324776217113227,2000.0
52,truck_SMR,3.202491497945915,2.3187524308104104,2000.0
53,truck_CYP,3.2025123783707854,2.3150890831071647,2000.0
54,truck_GTM,3.2025334629367896,2.310953020071054,2000.0
55,truck_DEU,3.202573256884248,2.3019857277659153,2000.0
56,truck_KAZ,3.2025419132571864,2.2995263893582516,2000.0
57,truck_ITA,3.2025580797231505,2.2865645637417735,2000.0
58,truck_MKD,3.202636938540948,2.284760406596029,2000.0
59,truck_WLF,3.202580835066004,2.2843148205009935,2000.0
60,truck_AUT,3.202564712987523,2.2711211962404088,2000.0
61,truck_UKR,3.2026676760756647,2.2672487985869125,2000.0
62,truck_IRL,3.202540867714402,2.2634419770567162,2000.0
63,truck_GUY,3.2024902808436178,2.247280538497657,2000.0
64,truck_EST,3.2025931922747533,2.2138113717308925,2000.0
65,truck_LBN,3.2025276272004803,2.2067953725090184,2000.0
66,truck_POL,3.202629440856472,2.185936195985761,2000.0
67,truck_CAN,3.202591556552225,2.1811266346499196,2000.0
68,truck_ATG,3.202491472664677,2.1718990133518354,2000.0
69,truck_ISR,3.202542256844938,2.1604017351940565,2000.0
70,truck_ESP,3.202583766891198,2.160234460402896,2000.0
71,truck_CZE,3.2025897900882763,2.1476257642725374,2000.0
72,truck_MMR,3.2025020375707274,2.1452716857072116,2000.0
73,truck_MUS,3.2025322574028077,2.1409508086054623,2000.0
74,truck_MSR,3.202575231578276,2.1385857818300718,2000.0
75,truck_NLD,3.2025851871012385,2.1260724303748546,2000.0
76,truck_FRO,3.2024965190909853,2.096337089932936,2000.0
77,truck_SLV,3.2024967699595477,2.0918091188718675,2000.0
78,truck_ZWE,3.202527001484623,2.0901898969645654,2000.0
79,truck_JPN,3.2026367740548616,2.082230505254635,2000.0
80,truck_KOR,3.202619026434512,2.077264061948097,2000.0
81,truck_TUR,3.2025475431551085,2.0761199580674283,2000.0
82,truck_AUS,3.202554902754854,2.0759359116356286,2000.0
83,truck_CHN,3.2025286451824977,2.073704939732652,2000.0
84,truck_BMU,3.202516213526017,2.067541691907167,2000.0
85,truck_PHL,3.202576243004411,2.053172419733156,2000.0
86,truck_SHN,3.2024921950447567,2.0514259715722876,2000.0
87,truck_HKG,3.2025403565046,2.047820286572536,2000.0
88,truck_MAC,3.2024892472284607,2.0210381277452134,2000.0
89,truck_LTU,3.2025503691758908,2.020892059818902,2000.0
90,truck_VNM,3.2024972671055947,2.019063269707493,2000.0
91,truck_TWN,3.202593372649738,2.011800598363007,2000.0
92,truck_NZL,3.20254753974687,1.990316193640822,2000.0
93,truck_SPM,3.2025074578424473,1.971167421882923,2000.0
94,truck_THA,3.2025491615042783,1.9576443840952655,2000.0
95,truck_BLR,3.20266689312536,1.943656189649766,2000.0
96,truck_SVK,3.2025848156634957,1.9399941200997226,2000.0
97,truck_PRT,3.202530331786881,1.935663342848595,2000.0
